序号,服务,模块,端口,请求方法,接口路径,Controller,处理方法,接口说明,源码位置,映射注解行,处理方法行,映射注解
585,qdata-server,dp,8080,DELETE,/dp/dataElemRuleRel/{ids},DpDataElemRuleRelController,remove,删除数据元数据规则关联信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/dataElem/DpDataElemRuleRelController.java,130,131,@DeleteMapping
586,qdata-server,dp,8080,GET,/dp/dataElemRuleRel/{id},DpDataElemRuleRelController,getInfo,获取数据元数据规则关联信息详细信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/dataElem/DpDataElemRuleRelController.java,99,100,@GetMapping
587,qdata-server,dp,8080,POST,/dp/document,DpDocumentController,add,新增标准信息登记,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,106,107,@PostMapping
588,qdata-server,dp,8080,PUT,/dp/document,DpDocumentController,edit,修改标准信息登记,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,116,117,@PutMapping
589,qdata-server,dp,8080,POST,/dp/document/export,DpDocumentController,export,导出标准信息登记列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,78,79,@PostMapping
590,qdata-server,dp,8080,GET,/dp/document/getDpDocumentList,DpDocumentController,getDpDocumentList,查询标准信息登记列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,70,71,@GetMapping
591,qdata-server,dp,8080,POST,/dp/document/importData,DpDocumentController,importData,导入标准信息登记列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,88,89,@PostMapping
592,qdata-server,dp,8080,GET,/dp/document/list,DpDocumentController,list,查询标准信息登记列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,62,63,@GetMapping
593,qdata-server,dp,8080,GET,/dp/document/search,DpDocumentController,search,查询标准检索列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,140,141,@GetMapping
594,qdata-server,dp,8080,GET,/dp/document/{ID},DpDocumentController,getInfo,获取标准信息登记详细信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,98,99,@GetMapping
595,qdata-server,dp,8080,DELETE,/dp/document/{id},DpDocumentController,remove,删除标准信息登记,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/document/DpDocumentController.java,134,135,@DeleteMapping
596,qdata-server,dp,8080,POST,/dp/model,DpModelController,add,新增逻辑模型,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,116,117,@PostMapping
597,qdata-server,dp,8080,PUT,/dp/model,DpModelController,edit,修改逻辑模型,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,127,128,@PutMapping
598,qdata-server,dp,8080,GET,/dp/model/batchDeleteCheck/{ids},DpModelController,batchDeleteCheck,批量删除检查表元数据,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,145,146,@GetMapping
599,qdata-server,dp,8080,DELETE,/dp/model/columnAll/{ids},DpModelController,removeAndColumnAll,删除逻辑模型连带字段一起删除,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,154,155,@DeleteMapping
600,qdata-server,dp,8080,POST,/dp/model/export,DpModelController,export,导出逻辑模型列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,85,86,@PostMapping
601,qdata-server,dp,8080,GET,/dp/model/getTreeData,DpModelController,getTree,获取树类目数据（多个数据组合而来）,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,168,169,@GetMapping
602,qdata-server,dp,8080,POST,/dp/model/importData,DpModelController,importData,导入逻辑模型列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,96,97,@PostMapping
603,qdata-server,dp,8080,GET,/dp/model/list,DpModelController,list,查询逻辑模型列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,68,69,@GetMapping
604,qdata-server,dp,8080,GET,/dp/model/releaseList,DpModelController,releaseList,查询发布模型列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,76,77,@GetMapping
605,qdata-server,dp,8080,POST,/dp/model/updateStatus/{id}/{status},DpModelController,updateStatus,更改状态,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,162,163,@PostMapping
606,qdata-server,dp,8080,GET,/dp/model/{ID},DpModelController,getInfo,获取逻辑模型详细信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,107,108,@GetMapping
607,qdata-server,dp,8080,DELETE,/dp/model/{ids},DpModelController,remove,删除逻辑模型,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelController.java,138,139,@DeleteMapping
608,qdata-server,dp,8080,POST,/dp/modelColumn,DpModelColumnController,add,新增逻辑模型属性信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,113,114,@PostMapping
609,qdata-server,dp,8080,PUT,/dp/modelColumn,DpModelColumnController,edit,修改逻辑模型属性信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,124,125,@PutMapping
610,qdata-server,dp,8080,POST,/dp/modelColumn/addList,DpModelColumnController,addList,批量新增逻辑模型属性信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,135,136,@PostMapping
611,qdata-server,dp,8080,PUT,/dp/modelColumn/editList,DpModelColumnController,editList,批量修改逻辑模型属性信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,148,149,@PutMapping
612,qdata-server,dp,8080,POST,/dp/modelColumn/export,DpModelColumnController,export,导出逻辑模型属性信息列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,82,83,@PostMapping
613,qdata-server,dp,8080,GET,/dp/modelColumn/getDpModelColumnList,DpModelColumnController,getDpModelColumnList,查询逻辑模型属性信息列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,73,74,@GetMapping
614,qdata-server,dp,8080,POST,/dp/modelColumn/importData,DpModelColumnController,importData,导入逻辑模型属性信息列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,93,94,@PostMapping
615,qdata-server,dp,8080,GET,/dp/modelColumn/list,DpModelColumnController,list,查询逻辑模型属性信息列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,65,66,@GetMapping
616,qdata-server,dp,8080,DELETE,/dp/modelColumn/{ids},DpModelColumnController,remove,删除逻辑模型属性信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,161,162,@DeleteMapping
617,qdata-server,dp,8080,GET,/dp/modelColumn/{id},DpModelColumnController,getInfo,获取逻辑模型属性信息详细信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelColumnController.java,104,105,@GetMapping
618,qdata-server,dp,8080,POST,/dp/modelMaterialized,DpModelMaterializedController,add,新增物化模型记录,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelMaterializedController.java,76,77,@PostMapping
619,qdata-server,dp,8080,PUT,/dp/modelMaterialized,DpModelMaterializedController,edit,修改物化模型记录,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelMaterializedController.java,98,99,@PutMapping
620,qdata-server,dp,8080,POST,/dp/modelMaterialized/createMaterializedTable,DpModelMaterializedController,createMaterializedTable,新增物化模型记录,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelMaterializedController.java,87,88,@PostMapping
621,qdata-server,dp,8080,GET,/dp/modelMaterialized/list,DpModelMaterializedController,list,查询物化模型记录列表,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelMaterializedController.java,59,60,@GetMapping
622,qdata-server,dp,8080,DELETE,/dp/modelMaterialized/{ids},DpModelMaterializedController,remove,删除物化模型记录,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelMaterializedController.java,109,110,@DeleteMapping
623,qdata-server,dp,8080,GET,/dp/modelMaterialized/{id},DpModelMaterializedController,getInfo,获取物化模型记录详细信息,qdata-module-dp/qdata-module-dp-biz/src/main/java/tech/qiantong/qdata/module/dp/controller/admin/model/DpModelMaterializedController.java,67,68,@GetMapping
624,qdata-server,dpp,8080,POST,/dpp/etlExecutors/execute/{taskInstanceId}/{executeType},DppEtlExecutorController,execute,执行命令,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlExecutorController.java,56,57,@PostMapping
625,qdata-server,dpp,8080,POST,/dpp/etlNode,DppEtlNodeController,add,新增数据集成节点,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeController.java,106,107,@PostMapping
626,qdata-server,dpp,8080,PUT,/dpp/etlNode,DppEtlNodeController,edit,修改数据集成节点,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeController.java,117,118,@PutMapping
627,qdata-server,dpp,8080,POST,/dpp/etlNode/export,DppEtlNodeController,export,导出数据集成节点列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeController.java,75,76,@PostMapping
628,qdata-server,dpp,8080,POST,/dpp/etlNode/importData,DppEtlNodeController,importData,导入数据集成节点列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeController.java,86,87,@PostMapping
629,qdata-server,dpp,8080,GET,/dpp/etlNode/list,DppEtlNodeController,list,查询数据集成节点列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeController.java,66,67,@GetMapping
630,qdata-server,dpp,8080,DELETE,/dpp/etlNode/{ids},DppEtlNodeController,remove,删除数据集成节点,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeController.java,128,129,@DeleteMapping
631,qdata-server,dpp,8080,GET,/dpp/etlNode/{id},DppEtlNodeController,getInfo,获取数据集成节点详细信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeController.java,97,98,@GetMapping
632,qdata-server,dpp,8080,POST,/dpp/etlNodeInstance,DppEtlNodeInstanceController,add,新增数据集成节点实例,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,127,128,@PostMapping
633,qdata-server,dpp,8080,PUT,/dpp/etlNodeInstance,DppEtlNodeInstanceController,edit,修改数据集成节点实例,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,138,139,@PutMapping
634,qdata-server,dpp,8080,POST,/dpp/etlNodeInstance/downloadLog,DppEtlNodeInstanceController,downloadLog,查看日志详情,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,173,175,@RequestMapping
635,qdata-server,dpp,8080,POST,/dpp/etlNodeInstance/export,DppEtlNodeInstanceController,export,导出数据集成节点实例列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,96,97,@PostMapping
636,qdata-server,dpp,8080,POST,/dpp/etlNodeInstance/importData,DppEtlNodeInstanceController,importData,导入数据集成节点实例列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,107,108,@PostMapping
637,qdata-server,dpp,8080,GET,/dpp/etlNodeInstance/list,DppEtlNodeInstanceController,list,查询数据集成节点实例列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,87,88,@GetMapping
638,qdata-server,dpp,8080,GET,/dpp/etlNodeInstance/log/{id},DppEtlNodeInstanceController,getLogInfo,查看日志详情,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,156,157,@GetMapping
639,qdata-server,dpp,8080,DELETE,/dpp/etlNodeInstance/{ids},DppEtlNodeInstanceController,remove,删除数据集成节点实例,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,149,150,@DeleteMapping
640,qdata-server,dpp,8080,GET,/dpp/etlNodeInstance/{id},DppEtlNodeInstanceController,getInfo,获取数据集成节点实例详细信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeInstanceController.java,118,119,@GetMapping
641,qdata-server,dpp,8080,POST,/dpp/etlNodeLog,DppEtlNodeLogController,add,新增数据集成节点-日志,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeLogController.java,106,107,@PostMapping
642,qdata-server,dpp,8080,PUT,/dpp/etlNodeLog,DppEtlNodeLogController,edit,修改数据集成节点-日志,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeLogController.java,117,118,@PutMapping
643,qdata-server,dpp,8080,POST,/dpp/etlNodeLog/export,DppEtlNodeLogController,export,导出数据集成节点-日志列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeLogController.java,75,76,@PostMapping
644,qdata-server,dpp,8080,POST,/dpp/etlNodeLog/importData,DppEtlNodeLogController,importData,导入数据集成节点-日志列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeLogController.java,86,87,@PostMapping
645,qdata-server,dpp,8080,GET,/dpp/etlNodeLog/list,DppEtlNodeLogController,list,查询数据集成节点-日志列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeLogController.java,66,67,@GetMapping
646,qdata-server,dpp,8080,DELETE,/dpp/etlNodeLog/{ids},DppEtlNodeLogController,remove,删除数据集成节点-日志,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeLogController.java,128,129,@DeleteMapping
647,qdata-server,dpp,8080,GET,/dpp/etlNodeLog/{id},DppEtlNodeLogController,getInfo,获取数据集成节点-日志详细信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlNodeLogController.java,97,98,@GetMapping
648,qdata-server,dpp,8080,POST,/dpp/etlScheduler,DppEtlSchedulerController,add,新增数据集成调度信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSchedulerController.java,106,107,@PostMapping
649,qdata-server,dpp,8080,PUT,/dpp/etlScheduler,DppEtlSchedulerController,edit,修改数据集成调度信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSchedulerController.java,117,118,@PutMapping
650,qdata-server,dpp,8080,POST,/dpp/etlScheduler/export,DppEtlSchedulerController,export,导出数据集成调度信息列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSchedulerController.java,75,76,@PostMapping
651,qdata-server,dpp,8080,POST,/dpp/etlScheduler/importData,DppEtlSchedulerController,importData,导入数据集成调度信息列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSchedulerController.java,86,87,@PostMapping
652,qdata-server,dpp,8080,GET,/dpp/etlScheduler/list,DppEtlSchedulerController,list,查询数据集成调度信息列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSchedulerController.java,66,67,@GetMapping
653,qdata-server,dpp,8080,DELETE,/dpp/etlScheduler/{ids},DppEtlSchedulerController,remove,删除数据集成调度信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSchedulerController.java,128,129,@DeleteMapping
654,qdata-server,dpp,8080,GET,/dpp/etlScheduler/{id},DppEtlSchedulerController,getInfo,获取数据集成调度信息详细信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSchedulerController.java,97,98,@GetMapping
655,qdata-server,dpp,8080,POST,/dpp/etlSqlTemp,DppEtlSqlTempController,add,新增数据集成SQL模版,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSqlTempController.java,74,75,@PostMapping
656,qdata-server,dpp,8080,PUT,/dpp/etlSqlTemp,DppEtlSqlTempController,edit,修改数据集成SQL模版,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSqlTempController.java,84,85,@PutMapping
657,qdata-server,dpp,8080,GET,/dpp/etlSqlTemp/list,DppEtlSqlTempController,list,查询数据集成SQL模版列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSqlTempController.java,65,66,@GetMapping
658,qdata-server,dpp,8080,DELETE,/dpp/etlSqlTemp/{ids},DppEtlSqlTempController,remove,删除数据集成SQL模版,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlSqlTempController.java,94,95,@DeleteMapping
659,qdata-server,dpp,8080,POST,/dpp/etlTask/copyCreateEtl,DppEtlTaskController,copyCreateEtl,复制数据汇聚任务,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,235,237,@PostMapping
660,qdata-server,dpp,8080,POST,/dpp/etlTask/createEtlTask,DppEtlTaskController,createEtlTask,新增数据汇聚任务,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,195,197,@PostMapping
661,qdata-server,dpp,8080,POST,/dpp/etlTask/createEtlTaskFront,DppEtlTaskController,createEtlTaskFront,新增数据汇聚任务,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,213,215,@PostMapping
662,qdata-server,dpp,8080,POST,/dpp/etlTask/createEtlTaskFrontPostposition,DppEtlTaskController,createEtlTaskFrontPostposition,新增数据汇聚任务,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,224,226,@PostMapping
663,qdata-server,dpp,8080,POST,/dpp/etlTask/createProcessDefinitionEx,DppEtlTaskController,createProcessDefinition,新增节点,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,97,99,@PostMapping
664,qdata-server,dpp,8080,GET,/dpp/etlTask/getDppEtlTaskListTree,DppEtlTaskController,getDppEtlTaskListTree,查询数据集成任务列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,173,174,@GetMapping
665,qdata-server,dpp,8080,GET,/dpp/etlTask/getDppEtlTaskPage,DppEtlTaskController,getDppEtlTaskPageList,查询数据集成任务列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,73,74,@GetMapping
666,qdata-server,dpp,8080,GET,/dpp/etlTask/getNodeUniqueKey,DppEtlTaskController,getNodeUniqueKey,新增数据集成节点-获取唯一健,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,142,143,@GetMapping
667,qdata-server,dpp,8080,GET,/dpp/etlTask/getSubTaskStatusList,DppEtlTaskController,getSubTaskStatusList,查询数据集成任务列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,181,182,@GetMapping
668,qdata-server,dpp,8080,GET,/dpp/etlTask/list,DppEtlTaskController,list,查询数据集成任务列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,62,63,@GetMapping
669,qdata-server,dpp,8080,POST,/dpp/etlTask/releaseTaskCrontab,DppEtlTaskController,releaseTaskCrontab,修改调度cron表达式,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,133,135,@PostMapping
670,qdata-server,dpp,8080,PUT,/dpp/etlTask/startDppEtlTask/{id},DppEtlTaskController,startDppEtlTask,查询数据集成任务列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,188,189,@PutMapping
671,qdata-server,dpp,8080,POST,/dpp/etlTask/updateEtlTask,DppEtlTaskController,updateEtlTask,修改数据汇聚任务,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,204,206,@PostMapping
672,qdata-server,dpp,8080,POST,/dpp/etlTask/updateProcessDefinition,DppEtlTaskController,updateProcessDefinition,修改节点,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,164,166,@PostMapping
673,qdata-server,dpp,8080,GET,/dpp/etlTask/updateQuery/{id},DppEtlTaskController,getuUpdateQueryInfo,获取数据集成任务详细信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,157,158,@GetMapping
674,qdata-server,dpp,8080,GET,/dpp/etlTask/updateQueryFront/{id},DppEtlTaskController,getupdateQueryFront,获取数据集成任务详细信息--前置草稿任务,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,247,248,@GetMapping
675,qdata-server,dpp,8080,POST,/dpp/etlTask/updateReleaseJobTask,DppEtlTaskController,updateReleaseJobTask,上下线-任务,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,117,119,@PostMapping
676,qdata-server,dpp,8080,POST,/dpp/etlTask/updateReleaseSchedule,DppEtlTaskController,updateReleaseSchedule,上下线-调度,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,125,127,@PostMapping
677,qdata-server,dpp,8080,POST,/dpp/etlTask/updateReleaseTask,DppEtlTaskController,releaseTask,上下线,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,108,110,@PostMapping
678,qdata-server,dpp,8080,DELETE,/dpp/etlTask/{ids},DppEtlTaskController,remove,删除数据集成任务,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,85,86,@DeleteMapping
679,qdata-server,dpp,8080,GET,/dpp/etlTask/{id},DppEtlTaskController,getInfo,获取数据集成任务详细信息,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskController.java,149,150,@GetMapping
680,qdata-server,dpp,8080,POST,/dpp/etlTaskInstance,DppEtlTaskInstanceController,add,新增数据集成任务实例,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskInstanceController.java,113,114,@PostMapping
681,qdata-server,dpp,8080,PUT,/dpp/etlTaskInstance,DppEtlTaskInstanceController,edit,修改数据集成任务实例,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskInstanceController.java,124,125,@PutMapping
682,qdata-server,dpp,8080,POST,/dpp/etlTaskInstance/downloadLog,DppEtlTaskInstanceController,downloadLog,通过实例id获取日志,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskInstanceController.java,164,166,@RequestMapping
683,qdata-server,dpp,8080,POST,/dpp/etlTaskInstance/export,DppEtlTaskInstanceController,export,导出数据集成任务实例列表,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskInstanceController.java,82,83,@PostMapping
684,qdata-server,dpp,8080,GET,/dpp/etlTaskInstance/getLogByTaskInstanceId,DppEtlTaskInstanceController,getLogByTaskInstanceId,通过实例id获取日志,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskInstanceController.java,159,160,@GetMapping
685,qdata-server,dpp,8080,GET,/dpp/etlTaskInstance/getRunTaskInstance,DppEtlTaskInstanceController,getRunTaskInstance,获取正在运行的实例,qdata-module-dpp/qdata-module-dpp-biz/src/main/java/tech/qiantong/qdata/module/dpp/controller/admin/etl/DppEtlTaskInstanceController.java,153,154,@GetMapping
